"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 19 08:18:20 GMT 2025","Tue Aug 19 08:18:20 GMT 2025","425","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 19 08:18:24 GMT 2025","Tue Aug 19 08:18:25 GMT 2025","391","","User Registration on LambdaTest eCommerce Playground","","Registration fails with already registered email","","Registration fails with already registered email",""
"broken","Tue Aug 19 08:18:19 GMT 2025","Tue Aug 19 08:18:19 GMT 2025","427","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:18:25 GMT 2025","Tue Aug 19 08:18:25 GMT 2025","1","Regression_Suite","Regression Test","runners.RegressionTestRunner","runners.RegressionTestRunner","afterSuite","afterSuite",""
"broken","Tue Aug 19 08:18:22 GMT 2025","Tue Aug 19 08:18:22 GMT 2025","436","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:18:23 GMT 2025","Tue Aug 19 08:18:24 GMT 2025","430","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:18:20 GMT 2025","Tue Aug 19 08:18:20 GMT 2025","423","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 19 08:18:22 GMT 2025","Tue Aug 19 08:18:22 GMT 2025","428","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:18:22 GMT 2025","Tue Aug 19 08:18:22 GMT 2025","438","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:18:19 GMT 2025","Tue Aug 19 08:18:20 GMT 2025","439","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:18:19 GMT 2025","Tue Aug 19 08:18:20 GMT 2025","435","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:18:23 GMT 2025","Tue Aug 19 08:18:23 GMT 2025","421","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:18:22 GMT 2025","Tue Aug 19 08:18:22 GMT 2025","421","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:18:22 GMT 2025","Tue Aug 19 08:18:23 GMT 2025","422","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:18:21 GMT 2025","Tue Aug 19 08:18:22 GMT 2025","430","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:18:21 GMT 2025","Tue Aug 19 08:18:22 GMT 2025","431","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:18:24 GMT 2025","Tue Aug 19 08:18:24 GMT 2025","423","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:18:16 GMT 2025","Tue Aug 19 08:18:19 GMT 2025","3376","","Login","","Login with credentials","","Login with credentials",""
"broken","Tue Aug 19 08:18:23 GMT 2025","Tue Aug 19 08:18:24 GMT 2025","433","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:18:24 GMT 2025","Tue Aug 19 08:18:24 GMT 2025","423","","User Registration on LambdaTest eCommerce Playground","","Registration fails without accepting Privacy Policy","","Registration fails without accepting Privacy Policy",""
"broken","Tue Aug 19 08:18:21 GMT 2025","Tue Aug 19 08:18:21 GMT 2025","440","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 19 08:18:16 GMT 2025","Tue Aug 19 08:18:19 GMT 2025","3366","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:18:20 GMT 2025","Tue Aug 19 08:18:21 GMT 2025","427","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 19 08:18:20 GMT 2025","Tue Aug 19 08:18:21 GMT 2025","426","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 19 08:18:21 GMT 2025","Tue Aug 19 08:18:21 GMT 2025","442","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 19 08:18:19 GMT 2025","Tue Aug 19 08:18:19 GMT 2025","435","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:18:22 GMT 2025","Tue Aug 19 08:18:23 GMT 2025","422","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:18:23 GMT 2025","Tue Aug 19 08:18:23 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
