"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 19 07:49:06 GMT 2025","Tue Aug 19 07:49:06 GMT 2025","447","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 19 07:49:07 GMT 2025","Tue Aug 19 07:49:07 GMT 2025","435","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 07:49:08 GMT 2025","Tue Aug 19 07:49:09 GMT 2025","422","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 07:49:09 GMT 2025","Tue Aug 19 07:49:09 GMT 2025","398","","User Registration on LambdaTest eCommerce Playground","","Registration fails with already registered email","","Registration fails with already registered email",""
"broken","Tue Aug 19 07:49:06 GMT 2025","Tue Aug 19 07:49:07 GMT 2025","415","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 07:49:08 GMT 2025","Tue Aug 19 07:49:08 GMT 2025","422","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 07:49:06 GMT 2025","Tue Aug 19 07:49:06 GMT 2025","446","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 19 07:49:04 GMT 2025","Tue Aug 19 07:49:04 GMT 2025","436","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 07:49:08 GMT 2025","Tue Aug 19 07:49:08 GMT 2025","418","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 07:49:04 GMT 2025","Tue Aug 19 07:49:04 GMT 2025","444","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 07:49:08 GMT 2025","Tue Aug 19 07:49:09 GMT 2025","420","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 07:48:57 GMT 2025","Tue Aug 19 07:49:04 GMT 2025","6736","","Login","","Login with credentials","","Login with credentials",""
"broken","Tue Aug 19 07:49:05 GMT 2025","Tue Aug 19 07:49:05 GMT 2025","439","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 19 07:49:09 GMT 2025","Tue Aug 19 07:49:09 GMT 2025","420","","User Registration on LambdaTest eCommerce Playground","","Registration fails without accepting Privacy Policy","","Registration fails without accepting Privacy Policy",""
"broken","Tue Aug 19 07:49:10 GMT 2025","Tue Aug 19 07:49:10 GMT 2025","0","Regression_Suite","Regression Test","runners.RegressionTestRunner","runners.RegressionTestRunner","afterSuite","afterSuite",""
"broken","Tue Aug 19 07:48:57 GMT 2025","Tue Aug 19 07:49:04 GMT 2025","6735","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 07:49:06 GMT 2025","Tue Aug 19 07:49:06 GMT 2025","427","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 07:49:09 GMT 2025","Tue Aug 19 07:49:09 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 07:49:07 GMT 2025","Tue Aug 19 07:49:08 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 07:49:05 GMT 2025","Tue Aug 19 07:49:06 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 19 07:49:05 GMT 2025","Tue Aug 19 07:49:05 GMT 2025","435","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 19 07:49:07 GMT 2025","Tue Aug 19 07:49:07 GMT 2025","429","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 07:49:05 GMT 2025","Tue Aug 19 07:49:06 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 19 07:49:06 GMT 2025","Tue Aug 19 07:49:07 GMT 2025","425","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 07:49:04 GMT 2025","Tue Aug 19 07:49:05 GMT 2025","433","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 07:49:04 GMT 2025","Tue Aug 19 07:49:05 GMT 2025","427","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 07:49:07 GMT 2025","Tue Aug 19 07:49:08 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 07:49:06 GMT 2025","Tue Aug 19 07:49:06 GMT 2025","426","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
