"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 19 08:14:28 GMT 2025","Tue Aug 19 08:14:29 GMT 2025","405","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 19 08:14:28 GMT 2025","Tue Aug 19 08:14:28 GMT 2025","414","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:14:29 GMT 2025","Tue Aug 19 08:14:29 GMT 2025","431","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 19 08:14:31 GMT 2025","Tue Aug 19 08:14:31 GMT 2025","422","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:14:31 GMT 2025","Tue Aug 19 08:14:32 GMT 2025","417","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:14:27 GMT 2025","Tue Aug 19 08:14:28 GMT 2025","445","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:14:31 GMT 2025","Tue Aug 19 08:14:31 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:14:31 GMT 2025","Tue Aug 19 08:14:32 GMT 2025","406","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:14:22 GMT 2025","Tue Aug 19 08:14:27 GMT 2025","5167","","Login","","Login with credentials","","Login with credentials",""
"broken","Tue Aug 19 08:14:22 GMT 2025","Tue Aug 19 08:14:27 GMT 2025","5122","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:14:32 GMT 2025","Tue Aug 19 08:14:33 GMT 2025","398","","User Registration on LambdaTest eCommerce Playground","","Registration fails with already registered email","","Registration fails with already registered email",""
"broken","Tue Aug 19 08:14:27 GMT 2025","Tue Aug 19 08:14:28 GMT 2025","451","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:14:30 GMT 2025","Tue Aug 19 08:14:30 GMT 2025","404","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:14:32 GMT 2025","Tue Aug 19 08:14:32 GMT 2025","410","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 19 08:14:28 GMT 2025","Tue Aug 19 08:14:29 GMT 2025","416","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 19 08:14:30 GMT 2025","Tue Aug 19 08:14:31 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:14:28 GMT 2025","Tue Aug 19 08:14:28 GMT 2025","434","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 19 08:14:33 GMT 2025","Tue Aug 19 08:14:33 GMT 2025","1","Regression_Suite","Regression Test","runners.RegressionTestRunner","runners.RegressionTestRunner","afterSuite","afterSuite",""
"broken","Tue Aug 19 08:14:29 GMT 2025","Tue Aug 19 08:14:30 GMT 2025","430","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:14:28 GMT 2025","Tue Aug 19 08:14:28 GMT 2025","424","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 19 08:14:29 GMT 2025","Tue Aug 19 08:14:30 GMT 2025","412","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:14:29 GMT 2025","Tue Aug 19 08:14:29 GMT 2025","412","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 19 08:14:28 GMT 2025","Tue Aug 19 08:14:28 GMT 2025","420","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 19 08:14:30 GMT 2025","Tue Aug 19 08:14:30 GMT 2025","410","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:14:30 GMT 2025","Tue Aug 19 08:14:30 GMT 2025","429","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 19 08:14:30 GMT 2025","Tue Aug 19 08:14:31 GMT 2025","411","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 19 08:14:32 GMT 2025","Tue Aug 19 08:14:32 GMT 2025","402","","User Registration on LambdaTest eCommerce Playground","","Registration fails without accepting Privacy Policy","","Registration fails without accepting Privacy Policy",""
"broken","Tue Aug 19 08:14:31 GMT 2025","Tue Aug 19 08:14:31 GMT 2025","409","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
