"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 25 13:23:50 GMT 2025","Mon Aug 25 13:23:51 GMT 2025","432","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Mon Aug 25 13:23:47 GMT 2025","Mon Aug 25 13:23:48 GMT 2025","441","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Mon Aug 25 13:23:52 GMT 2025","Mon Aug 25 13:23:52 GMT 2025","426","","User Registration on LambdaTest eCommerce Playground","","Registration fails without accepting Privacy Policy","","Registration fails without accepting Privacy Policy",""
"broken","Mon Aug 25 13:23:48 GMT 2025","Mon Aug 25 13:23:48 GMT 2025","431","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Mon Aug 25 13:23:52 GMT 2025","Mon Aug 25 13:23:52 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Mon Aug 25 13:23:49 GMT 2025","Mon Aug 25 13:23:49 GMT 2025","436","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Mon Aug 25 13:23:53 GMT 2025","Mon Aug 25 13:23:53 GMT 2025","1","Regression_Suite","Regression Test","runners.RegressionTestRunner","runners.RegressionTestRunner","afterSuite","afterSuite",""
"broken","Mon Aug 25 13:23:52 GMT 2025","Mon Aug 25 13:23:52 GMT 2025","426","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Mon Aug 25 13:23:51 GMT 2025","Mon Aug 25 13:23:51 GMT 2025","423","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Mon Aug 25 13:23:51 GMT 2025","Mon Aug 25 13:23:51 GMT 2025","421","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Mon Aug 25 13:23:50 GMT 2025","Mon Aug 25 13:23:50 GMT 2025","415","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Mon Aug 25 13:23:48 GMT 2025","Mon Aug 25 13:23:49 GMT 2025","432","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Mon Aug 25 13:23:51 GMT 2025","Mon Aug 25 13:23:51 GMT 2025","428","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Mon Aug 25 13:23:51 GMT 2025","Mon Aug 25 13:23:51 GMT 2025","425","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Mon Aug 25 13:23:50 GMT 2025","Mon Aug 25 13:23:50 GMT 2025","433","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Mon Aug 25 13:23:48 GMT 2025","Mon Aug 25 13:23:48 GMT 2025","432","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Mon Aug 25 13:23:48 GMT 2025","Mon Aug 25 13:23:48 GMT 2025","430","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Mon Aug 25 13:23:49 GMT 2025","Mon Aug 25 13:23:49 GMT 2025","435","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Mon Aug 25 13:23:41 GMT 2025","Mon Aug 25 13:23:47 GMT 2025","6123","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Mon Aug 25 13:23:48 GMT 2025","Mon Aug 25 13:23:48 GMT 2025","431","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Mon Aug 25 13:23:51 GMT 2025","Mon Aug 25 13:23:52 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Mon Aug 25 13:23:47 GMT 2025","Mon Aug 25 13:23:48 GMT 2025","442","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Mon Aug 25 13:23:41 GMT 2025","Mon Aug 25 13:23:47 GMT 2025","6135","","Login","","Login with credentials","","Login with credentials",""
"broken","Mon Aug 25 13:23:50 GMT 2025","Mon Aug 25 13:23:51 GMT 2025","433","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Mon Aug 25 13:23:49 GMT 2025","Mon Aug 25 13:23:50 GMT 2025","462","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Mon Aug 25 13:23:49 GMT 2025","Mon Aug 25 13:23:50 GMT 2025","472","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Mon Aug 25 13:23:48 GMT 2025","Mon Aug 25 13:23:49 GMT 2025","435","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Mon Aug 25 13:23:52 GMT 2025","Mon Aug 25 13:23:53 GMT 2025","396","","User Registration on LambdaTest eCommerce Playground","","Registration fails with already registered email","","Registration fails with already registered email",""
