"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 26 08:50:19 GMT 2025","Tue Aug 26 08:50:19 GMT 2025","411","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 26 08:50:15 GMT 2025","Tue Aug 26 08:50:15 GMT 2025","446","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 26 08:50:17 GMT 2025","Tue Aug 26 08:50:17 GMT 2025","425","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 26 08:50:16 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","426","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 26 08:50:18 GMT 2025","Tue Aug 26 08:50:18 GMT 2025","438","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 26 08:50:19 GMT 2025","Tue Aug 26 08:50:20 GMT 2025","408","","User Registration on LambdaTest eCommerce Playground","","Registration fails without accepting Privacy Policy","","Registration fails without accepting Privacy Policy",""
"broken","Tue Aug 26 08:50:15 GMT 2025","Tue Aug 26 08:50:15 GMT 2025","450","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 26 08:50:16 GMT 2025","Tue Aug 26 08:50:17 GMT 2025","410","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 26 08:50:20 GMT 2025","Tue Aug 26 08:50:20 GMT 2025","392","","User Registration on LambdaTest eCommerce Playground","","Registration fails with already registered email","","Registration fails with already registered email",""
"broken","Tue Aug 26 08:50:20 GMT 2025","Tue Aug 26 08:50:20 GMT 2025","1","Regression_Suite","Regression Test","runners.RegressionTestRunner","runners.RegressionTestRunner","afterSuite","afterSuite",""
"broken","Tue Aug 26 08:50:16 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","432","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 26 08:50:18 GMT 2025","Tue Aug 26 08:50:18 GMT 2025","414","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 26 08:50:18 GMT 2025","Tue Aug 26 08:50:18 GMT 2025","433","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 26 08:50:15 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","419","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 26 08:50:16 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","415","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid firstname","","Registration fails with invalid firstname",""
"broken","Tue Aug 26 08:50:19 GMT 2025","Tue Aug 26 08:50:19 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 26 08:50:16 GMT 2025","Tue Aug 26 08:50:17 GMT 2025","418","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid lastname","","Registration fails with invalid lastname",""
"broken","Tue Aug 26 08:50:18 GMT 2025","Tue Aug 26 08:50:19 GMT 2025","412","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid telephone","","Registration fails with invalid telephone",""
"broken","Tue Aug 26 08:50:17 GMT 2025","Tue Aug 26 08:50:17 GMT 2025","425","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 26 08:50:19 GMT 2025","Tue Aug 26 08:50:19 GMT 2025","406","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 26 08:50:17 GMT 2025","Tue Aug 26 08:50:18 GMT 2025","411","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 26 08:50:15 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","421","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 26 08:50:10 GMT 2025","Tue Aug 26 08:50:15 GMT 2025","4346","","Login","","Login with credentials","","Login with credentials",""
"broken","Tue Aug 26 08:50:10 GMT 2025","Tue Aug 26 08:50:15 GMT 2025","4359","","Login","","LOgin with invalid credentials","","LOgin with invalid credentials",""
"broken","Tue Aug 26 08:50:16 GMT 2025","Tue Aug 26 08:50:16 GMT 2025","433","","User Registration on LambdaTest eCommerce Playground","","Successful registration with valid details","","Successful registration with valid details",""
"broken","Tue Aug 26 08:50:17 GMT 2025","Tue Aug 26 08:50:18 GMT 2025","421","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid email","","Registration fails with invalid email",""
"broken","Tue Aug 26 08:50:19 GMT 2025","Tue Aug 26 08:50:20 GMT 2025","413","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
"broken","Tue Aug 26 08:50:19 GMT 2025","Tue Aug 26 08:50:19 GMT 2025","419","","User Registration on LambdaTest eCommerce Playground","","Registration fails with invalid password","","Registration fails with invalid password",""
